Material Name,Tags
PLA Filament,3D Printing
TPU Filament,3D Printing
PVA Filament,3D Printing
Super Glue,Adhesive
Tiebond Multiuse Glue,Adhesive
Elmerâ€™s Glue,Adhesive
Glue Sticks,Adhesive
Gorilla Glue,Adhesive
2-Part Epoxy Syringes,Adhesive
PVA Glue,Adhesive
Mod Podge Matte,Adhesive
Mod Podge Gloss,Adhesive
Double Sided Tape,Adhesive
Clear Packing Tape,Adhesive
Duct Tape,Adhesive
Silk Screen Tape,Adhesive
Painters Tape,Adhesive
Hot Glue Stick,Adhesive
Jewelry Charms,Jewelry
Elastic String,Jewelry
Jewelry Chain,Jewelry
Thick Wire,Jewelry
Thin Wire,Jewelry
Blue Wax Carving Block,Jewelry
Blue Wax Carving Tube,Jewelry
Jumper Ring,Jewelry
Jewelry Clasp,Jewelry
Beads,Jewelry
Lobster Clasp,Jewelry
AAA Batteries,Electronics
AA Batteries,Electronics
Cardstock,Paper
Printer Paper,Paper
Bookbinding Paper,Bookbinding
Bookbinding Needle,Bookbinding
Bookbinding Thread,Bookbinding
Suminagashi Paint,"Marbling, Paint"
Carrageenan,Marbling
Bookcloth,Bookbinding
Bookbinding Ribbon,Bookbinding
Acrylic Gouache,"Paint, Marbling"
Water Based Paint,"Marbling, Paint"
Vellum Paper,Paper
Wausau Paper,Paper
Heat Press Vinyl,Vinyl
Permanent Vinyl,"Vinyl, Screen Printing"
Transfer Paper,"Vinyl, Screen Printing"
Acrylic Paint,"Paint, Screen Printing"
Fabric Paint,"Paint, Screen Printing"
3D Fabric Paint,Paint
Water Color Paint,Paint
Embroidery Thread,"Sewing, Embroidery"
Cotton Thread,Sewing
Scrap Fabric,"Sewing, Textile"
Chalk,Other
Electrical Wire,Electronics
Solder,"Electronics, Stained Glass"
Conductive Nylon,"Electronics, Textile"
Copper Tape,"Electronics, Stained Glass"
Electrical Tape,"Electronics, Adhesive"
Coin Battery,Electronics
Arduino,Electronics
Raspberry Pi,Electronics
3V Battery,Electronics
5V Battery,Electronics
LED,Electronics
Transistor,Electronics
Potentiometer,Electronics
Resistor,Electronics
Embroidery Stabilizer,"Textile, Embroidery"
Yarn,Textile
Monks Cloth,"Textile, Rug Tufting"
Muslin,"Textile, Sewing"
Fusible Interface,"Emboidery, Textile, Sewing"
Washable Backing,Emboidery
Dye Sublimation Spray,"Textile, Dye Sublimation"
Heat Press Tape,Dye Sublimation
Assorted Glass,Stained Glass
Flux,"Electronics, Stained Glass"
Velcro,Textile
Hand Embroidery Floss,"Embroidery, Textile"
Leather Glue,"Textile, Adhesive, Leatherworking"
Teflon,"Textile, Dye Sublimation, Screen Printing"
Leather Burnishing Gum,Leatherworking
Leather Scraps,"Textile, Leatherworking"
Grommets,Textile
Snaps,Textile
Screws,"Woodworking, Fasteners"
Nails,"Woodworking, Fasteners"
Staples,"Woodworking, Fasteners"
Sand Paper,"Woodworking, Sanding"
Wood Filler,Woodworking
Mineral Oil,Woodworking
Universal Finish,Woodworking
Wood Butter,Woodworking
Wax,Woodworking
Wood Pigments,Woodworking
Glitter,Other
Metalic Leaf,Other
Cardboard,"Lasercutting, Other"
Acrylic,Lasercutting
Wood,"Woodworking, CNC"
Glass Cutting Oil,Stained Glass